"siteID","b","confMin","confMax","collectDate","latitude"
"ARIK",-1.26444639279598,-1.26744639279598,-1.26144639279598,2017-03-22 15:30:00,39.75825
"ARIK",-1.60714551958984,-1.61014551958984,-1.60414551958984,2017-07-12 17:27:00,39.75825
"ARIK",-1.42288093526196,-1.42688093526196,-1.41888093526196,2017-10-10 15:05:00,39.75825
"ARIK",-1.319875661499,-1.323875661499,-1.315875661499,2018-03-20 14:39:00,39.75825
"ARIK",-1.40091346843893,-1.40391346843893,-1.39791346843893,2018-07-12 13:00:00,39.75825
"ARIK",-1.41974645145153,-1.42274645145153,-1.41674645145153,2018-10-02 13:26:00,39.75825
"ARIK",-1.27840354375721,-1.28140354375721,-1.27540354375721,2019-03-27 15:08:00,39.75825
"ARIK",-1.56031367315213,-1.56331367315213,-1.55731367315213,2019-07-10 14:27:00,39.75825
"ARIK",-1.41602764627789,-1.41802764627789,-1.41402764627789,2019-10-01 19:42:00,39.75825
"BIGC",-1.29030596294504,-1.29630596294504,-1.28430596294504,2018-05-07 17:37:00,37.058
"BIGC",-1.35162917900717,-1.35362917900717,-1.34962917900717,2018-07-18 17:23:00,37.058
"BIGC",-1.18992637515952,-1.19192637515952,-1.18792637515952,2018-09-24 17:18:00,37.058
"BIGC",-1.33399174498993,-1.33999174498993,-1.32799174498993,2019-04-15 17:45:00,37.058
"BIGC",-1.28730059726049,-1.29030059726049,-1.28430059726049,2019-07-17 16:10:00,37.058
"BIGC",-1.28035835372882,-1.28235835372882,-1.27835835372882,2019-10-01 15:57:00,37.058
"BLDE",-1.23894173447332,-1.24294173447332,-1.23494173447332,2018-05-02 15:05:00,44.95011
"BLDE",-1.21389541423621,-1.21689541423621,-1.21089541423621,2018-07-18 15:05:00,44.95011
"BLDE",-1.22127478540542,-1.22327478540542,-1.21927478540542,2018-09-05 15:56:00,44.95011
"BLDE",-1.17735186494863,-1.18235186494863,-1.17235186494863,2019-05-02 16:50:00,44.95011
"BLDE",-1.21075738899823,-1.21275738899823,-1.20875738899823,2019-07-22 15:20:00,44.95011
"BLDE",-1.24326536073193,-1.24526536073193,-1.24126536073193,2019-09-04 14:47:00,44.95011
"BLUE",-1.3376203104897,-1.3386203104897,-1.3366203104897,2017-03-13 17:12:00,34.44422
"BLUE",-1.2025350898594,-1.2105350898594,-1.1945350898594,2017-07-12 17:26:00,34.44422
"BLUE",-1.32849482877721,-1.33049482877721,-1.32649482877721,2017-10-17 15:33:00,34.44422
"BLUE",-1.33768826163181,-1.34168826163181,-1.33368826163181,2018-03-12 18:05:00,34.44422
"BLUE",-1.25108583905357,-1.25408583905357,-1.24808583905357,2018-07-10 17:27:00,34.44422
"BLUE",-1.36382215774363,-1.36782215774363,-1.35982215774363,2018-11-06 17:44:00,34.44422
"BLUE",-1.29304441686688,-1.29504441686688,-1.29104441686688,2019-03-11 16:16:00,34.44422
"BLUE",-1.28741827702956,-1.28941827702956,-1.28541827702956,2019-07-09 13:35:00,34.44422
"BLUE",-1.44404728726252,-1.44704728726252,-1.44104728726252,2019-10-09 15:08:00,34.44422
"CARI",-1.14584222320088,-1.15584222320088,-1.13584222320088,2017-05-15 21:24:00,65.15306
"CARI",-1.13382710093201,-1.13982710093201,-1.12782710093201,2017-07-10 18:21:00,65.15306
